ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
4007,0,-1654,406,16738,-24,17,111,-46,649
4056,-1,-1564,348,16640,-38,62,98,-60,651
4106,0,-1872,330,16718,-69,59,22,-57,653
4156,0,-1990,438,16828,-65,37,53,-49,650
4206,0,-1840,174,16508,-51,33,57,-48,660
4256,0,-1832,164,16682,-48,41,52,-49,670
4306,0,-1894,410,16792,-40,46,62,-46,665
4356,0,-1966,224,16582,-55,77,49,-40,671
4406,0,-2332,212,16670,-54,50,-18,-16,676
4456,0,-2512,270,16750,-44,55,25,12,678
4506,0,-2414,-24,16406,-40,25,42,33,694
4556,0,-2484,-128,16474,-25,9,30,55,714
4606,0,-2602,-82,16754,-12,-89,10,77,728
4656,0,-1490,386,16742,23,-68,15,40,716
4706,0,-1792,178,16756,18,3,-9,24,716
4756,0,-1994,174,16634,-13,57,-40,21,717
4806,-1,-2514,68,16710,-12,39,-10,44,723
4856,0,-2450,154,16610,-14,7,87,62,723
4906,0,-1964,310,16500,0,26,102,52,716
4956,0,-2238,110,16810,-38,102,111,56,720
5006,0,-2302,-48,16734,-77,72,140,64,731
5056,0,-2236,86,16554,-85,61,129,68,734
5106,0,-2306,-56,16678,-89,104,77,74,744
5156,0,-2362,-56,16770,-87,149,38,81,752
5206,0,-2704,-136,16606,-87,164,16,106,763
5256,0,-2870,-198,16418,-87,165,9,137,775
5306,0,-3084,-142,16574,-60,188,37,172,783
5356,0,-3068,-104,16550,-41,144,89,202,788
5406,0,-3314,-428,16382,-42,150,127,242,809
5456,0,-3820,-450,16330,-47,95,69,301,827
5506,-1,-3376,66,16572,-37,81,81,327,817
5556,0,-3482,-732,16350,-47,128,68,356,849
5606,0,-3632,-322,16430,-53,108,67,388,855
5656,0,-3618,-626,16096,-12,-124,38,417,876
5706,0,-3734,-230,16444,-33,32,101,445,873
5756,0,-3914,-116,16302,-12,-6,107,479,865
5806,0,-3748,-334,16396,-42,104,73,498,869
5856,-1,-4030,-546,16234,-36,49,65,531,884
5906,0,-4170,-174,16304,77,-378,120,564,877
5956,0,-3528,-208,16132,74,137,219,563,873
6006,0,-3562,-138,16418,-32,116,165,560,866
6056,0,-3942,-606,16182,-56,101,131,580,884
6106,0,-4398,-548,16222,-16,86,16,618,897
6156,0,-4190,-184,16264,-18,44,1,640,888
6206,0,-4570,528,25382,-1109,-5060,954,640,888
6256,0,-388,-242,19878,143,218,33,639,888
6306,0,-1282,-204,16676,272,250,-38,507,882
6356,0,-2018,588,19320,133,926,-18,506,882
6406,0,-3534,-476,14564,-120,1087,-325,510,884
6456,1,-3446,-276,15934,-15,0,-1,515,883
6506,19,-4102,3074,19948,1493,-1644,18,515,882
6556,2,-2666,1210,14900,-315,-42,214,511,870
6606,4,-2824,1666,16880,399,-372,-61,474,773
6656,699,-2508,3760,16412,303,-305,-203,428,583
6706,162,-1486,-270,16458,48,-311,-349,340,626
6756,676,-596,-84,15732,192,-666,77,219,654
6806,4104,148,794,18876,90,-259,-121,218,654
6856,6498,-160,1794,15886,130,-177,-20,92,576
6906,10337,-1078,2464,17016,65,-203,76,84,564
6956,11565,-250,1622,17024,74,-182,87,-17,514
7006,12905,-678,2296,16976,113,13,-24,-82,439
7056,14017,272,2250,16624,136,-39,17,-185,374
7106,14917,-704,2332,16760,-34,28,17,-224,316
7156,16472,-406,1996,16906,101,-9,-53,-271,285
7206,17727,-76,2278,17162,99,-104,-107,-279,279
7256,18629,36,2608,17510,353,-58,-41,-287,272
7306,19261,-356,2346,17730,683,176,-106,-293,268
7356,19521,-192,3462,17318,1047,202,-143,-299,255
7406,19819,-588,4638,16482,1263,196,-145,-326,98
7456,20012,-840,5404,16082,1212,261,-145,-337,-77
7506,20105,-1232,7432,15318,1044,47,-51,-326,-335
7556,20189,-884,7346,15772,1058,99,-22,-327,-363
7606,20310,-2486,8102,15732,1127,228,57,-318,-394
7656,20339,-858,9840,15360,1325,230,-77,-320,-436
7706,20414,-1872,9438,14398,1496,261,-86,-315,-478
7756,20542,-1960,11376,12762,1556,287,-29,-309,-535
7806,20470,-2654,11836,12168,1503,162,77,-231,-991
7856,20234,-2010,11996,11294,1504,274,20,-194,-1419
7906,19973,-1728,12862,10202,1570,365,-39,-176,-1857
7956,19833,-2138,13314,9314,1640,381,-183,-139,-2277
80
