ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
5407,0,-14320,-6250,-1278,-7,-263,-371,3570,1815,35.7,18.15,0,0.0
5456,0,-15276,-5558,1536,2216,950,-241,3752,1843,37.52,18.43,0,0.0
5506,0,-14924,-5922,-3044,-871,72,73,3856,1886,38.56,18.86,0,0.0
5556,0,-14464,-6796,-4278,-340,294,-42,3870,1968,38.7,19.68,0,0.0
5606,0,-14634,-6204,-2010,-217,620,-115,3957,2016,39.57,20.16,0,0.0
5656,-1,-14090,-6902,-6256,-251,-254,56,3889,2077,38.89,20.77,0,0.0
5706,0,-14574,-6138,-2180,323,-347,11,3972,2105,39.72,21.05,0,0.0
5756,0,-14398,-5738,-3094,113,-1539,207,4039,2110,40.39,21.1,0,0.0
5806,0,-14172,-6114,-2218,677,-1633,212,4091,2141,40.91,21.41,0,0.0
5856,0,-13366,-6546,-5384,-212,-28,562,4019,2188,40.19,21.88,0,0.0
5906,0,-15616,-2390,5444,3989,5077,533,4132,1984,41.32,19.84,0,0.0
5956,0,-16622,-8672,538,-1605,-1250,-504,4131,2000,41.31,20.0,0,0.0
6006,0,-21652,-8790,2880,124,1241,-906,4131,2000,41.31,20.0,0,0.0
6056,-1,-12516,-8892,-1600,198,1834,1737,4114,2030,41.14,20.3,0,0.0
6106,0,-10914,-7850,-4034,-5,1483,1112,4091,2058,40.91,20.58,0,0.0
6156,0,-15414,-6184,-3808,769,303,398,4127,2070,41.27,20.7,0,0.0
6206,0,-15144,-8570,-4282,371,512,270,4116,2086,41.16,20.86,0,0.0
6256,0,-13684,-5540,-4304,-68,-523,50,4117,2086,41.17,20.86,0,0.0
6306,0,-13982,-4778,-1704,-232,-1893,356,4132,2082,41.32,20.82,0,0.0
6356,0,-12900,-4966,-1832,57,-1200,116,4141,2082,41.41,20.82,0,0.0015037593984962407
6406,0,-15766,-5226,1604,804,-856,-8,4261,2045,42.61,20.45,0,0.004511278195488722
6456,0,-14838,-5728,1884,532,-1214,-96,4318,2054,43.18,20.54,0,0.007518796992481203
6506,0,-14614,-5498,3856,588,-2294,-137,4328,2047,43.28,20.47,0,0.010526315789473684
6556,0,-12850,-1032,3146,981,-983,-925,4329,2045,43.29,20.45,0,0.013533834586466165
6606,0,-15438,-5092,15680,2701,330,-808,4327,2044,43.27,20.44,0,0.016541353383458645
6656,0,-14084,-8878,-2994,3,-1106,565,4201,2214,42.01,22.14,0,0.0037593984962406013
6706,0,-14450,-6630,7584,522,28,476,4184,2214,41.84,22.14,0,0.005263157894736842
6756,0,-11572,-5078,8130,986,444,-176,4158,2209,41.58,22.09,0,0.006766917293233083
6806,0,-14386,-6418,3582,312,1596,-335,4156,2230,41.56,22.3,0,0.008270676691729323
6856,0,-16604,-5284,3368,1659,-577,652,4169,2220,41.69,22.2,0,0.009774436090225564
6906,0,-13328,-2682,5278,1659,-1695,823,4175,2197,41.75,21.97,0,0.011278195488721804
6956,0,-13304,-3604,7658,1818,-2553,-209,4089,2067,40.89,20.67,0,0.012781954887218045
7006,0,-15058,-454,8722,1719,-5025,661,4084,2029,40.84,20.29,0,0.014285714285714285
7056,0,-8366,-1468,13876,1886,-4810,-1479,3614,1804,36.14,18.04,0,0.0
7106,0,-5590,4234,14004,3782,-3570,69,3063,1299,30.63,12.99,0,0.0
7156,0,-1894,-684,31516,1416,-2030,-2871,3058,1298,30.58,12.98,0,0.0
7206,-1,-998,3172,7584,1381,2213,-3903,3054,1294,30.54,12.94,0,-0.014285714285714285
7256,0,-10794,3146,5672,-2705,3559,160,3054,1292,30.54,12.92,0,-0.012781954887218045
7306,0,-7286,3176,22524,3271,4092,-871,3051,1289,30.51,12.89,0,-0.011278195488721804
7356,0,-6676,3774,14482,-1623,2080,1187,2632,898,26.32,8.98,0,-0.009774436090225564
7406,0,-14182,-32,16648,125,-1094,785,2631,897,26.31,8.97,0,-0.008270676691729323
7456,-1,-9106,2172,14586,345,-874,217,2599,864,25.99,8.64,0,-0.021052631578947368
7506,0,-5956,3626,9450,-984,-1248,-951,2597,862,25.97,8.62,0,-0.01804511278195489
7556,0,-7506,4710,16240,1278,-2849,-457,2550,815,25.5,8.15,0,-0.015037593984962405
7606,0,-6568,5578,18526,-734,243,-560,2547,813,25.47,8.13,0,-0.012030075187969926
