ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,label
8663,139,-1454,-1312,16644,-16,13,22,-644,899,0
8708,140,-1480,-1392,16614,-23,-4,23,-638,903,0
8758,109,-1554,-1318,16640,-29,37,40,-630,902,0
8808,80,-1406,-1350,16696,-31,48,52,-631,903,0
8858,72,-1520,-1568,16646,-60,54,89,-626,915,0
8908,88,-1378,-1258,16628,-85,62,108,-628,910,0
8958,88,-1820,-1416,16548,-107,103,376,-608,914,0
9008,93,-1828,-1558,16648,-102,94,110,-590,923,0
9058,101,-2222,-1730,16484,-67,253,153,-554,941,0
9108,101,-2116,-1150,16672,-80,81,223,-530,926,0
9158,84,-2456,-2164,16386,-90,255,284,-491,966,0
9208,94,-2630,-1612,16642,-68,125,322,-451,970,0
9258,104,-2500,-1714,16454,-78,145,310,-422,980,0
9308,82,-2424,-1296,16700,-22,218,263,-402,966,0
9358,74,-2750,-1850,16304,-28,286,203,-366,984,0
9408,65,-2976,-1666,16418,38,342,167,-325,989,0
9458,102,-3540,-1726,16296,50,309,149,-261,997,0
9508,99,-4684,-1512,16092,26,446,142,-147,992,0
9558,112,-4836,-1380,16100,-17,244,183,-42,980,0
9608,110,-4982,-1350,16064,-26,170,165,54,969,0
9658,104,-4660,-1282,16084,-59,160,169,120,957,0
9708,104,-7514,-352,17064,113,88,-1117,142,949,0
9758,24,-5132,-2154,16984,-349,-302,148,151,953,0
9808,41,-4568,-1396,16262,341,-769,133,195,948,0
9858,76,-3690,-1826,16430,-326,-1712,-185,187,966,0
9908,35,-5420,-2698,16562,-444,161,-372,197,973,0
9958,741,-5692,-1538,16570,275,-161,-182,208,972,0
10008,1414,-4036,-2502,15396,70,-77,-21,227,1028,0
10058,1286,-2694,-2356,15748,-349,-732,-376,170,1067,0
10108,918,-2982,-1782,17278,338,-1133,-481,164,1066,0
10158,380,-1972,-2600,16304,192,-243,-568,74,1108,0
10208,358,-496,-4270,15742,-155,216,-117,-78,1237,0
10258,67,-1638,-2202,17552,-326,-155,-432,-88,1235,0
10308,221,-1364,-1106,15488,-98,-35,-759,-167,1178,0
10358,151,-942,-4172,16860,-27,50,-497,-179,1191,0
10408,82,-1374,-3026,15714,-88,156,176,-246,1243,0
10458,114,-1182,-4920,15304,-386,-91,304,-313,1390,0
10508,54,-4134,-2166,18092,1426,2552,1608,-304,1384,0
10558,0,-1332,-2708,15458,62,748,118,-353,1392,0
10608,0,-1704,-70,17436,233,-6,477,-357,1374,0
10658,0,-3932,766,17336,118,122,97,-347,1350,0
10708,0,-2620,1246,17104,-226,101,-206,-345,1324,0
10758,27,-4246,-1460,16094,-80,4,-241,-239,1268,0
10808,143,-2602,-3334,16898,-176,-781,-371,-240,1274,0
10858,75,-884,-2736,16454,16,-1259,-496,-326,1291,0
10908,14,3006,-1384,16608,626,-740,-30,-597,1235,0
10958,131,74,-2046,16448,-65,119,-281,-679,1223,0
11008,11,430,-2154,17036,-22,147,-140,-766,1215,0
11058,58,-134,-1876,16884,-46,16,16,-812,1195,0
11108,132,-802,-2426,16886,-235,-114,51,-817,1205,0
11158,72,-226,-730,16304,106,-11,60,-850,1130,0
11208,70,50,-3002,16678,-571,-404,24,-892,1181,0
11258,128,-384,-1400,16246,-220,-283,111,-905,1145,0
11308,77,836,-1698,16854,709,-3,46,-979,1126,0
11358,135,-410,-3102,16310,631,439,-110,-978,1186,0
11408,39,1024,-2818,17066,620,532,-106,-988,1190,0
11458,52,-1790,-2228,16972,264,733,559,-978,1190,0
11508,1,-1618,-1532,16824,465,999,400,-917,1156,0
11558,3,-2510,-498,17652,69,291,336,-905,1146,0
11608,2,-3486,-816,17620,-294,598,461,-887,1137,0
11658,1,-3826,-1882,16224,36,596,-188,-723,1130,0
11708,1,-4708,-122,15558,525,-167,-66,-529,1034,0
11758,14,-3950,-670,17076,94,-564,3,-515,1027,0
11808,141,-6760,1960,16558,-47,-338,-500,-483,1003,0
11858,376,-2242,-934,16876,65,-883,-585,-464,967,0
11908,378,-234,-1422,15398,66,-1762,-384,-476,967,0
11958,791,1438,-2520,17698,-133,-610,-257,-498,973,0
