ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
4880,379,4950,454,15972,-4,-10,3,-762,-511,-7.62,-5.11,0,0.0
4906,382,4970,454,15976,-7,-5,-1,-764,-510,-7.64,-5.1,0,0.0
4956,390,4950,472,16022,-10,-8,-1,-764,-510,-7.64,-5.1,0,0.0
5006,396,4980,520,15960,-13,-8,6,-766,-513,-7.66,-5.13,0,0.0
5056,391,4932,436,16002,-10,-4,9,-765,-511,-7.65,-5.11,0,0.0
5106,388,4934,466,15950,-11,-4,13,-765,-510,-7.65,-5.1,0,0.0
5156,396,5018,444,15954,-11,-1,18,-769,-509,-7.69,-5.09,0,0.0
5206,422,4950,478,15974,-13,3,14,-769,-510,-7.69,-5.1,0,0.0
5256,407,5040,424,15940,-15,5,9,-774,-507,-7.74,-5.07,0,0.0
5306,417,4792,416,16012,-22,10,14,-764,-505,-7.64,-5.05,0,0.0
5356,387,5028,468,16004,-5,-5,13,-768,-506,-7.68,-5.06,0,0.0
5406,344,4830,376,15988,-9,3,7,-762,-501,-7.62,-5.01,0,0.0
5456,389,4960,422,15982,-16,7,11,-763,-500,-7.63,-5.0,0,0.0
5506,440,4914,410,15926,-15,1,8,-763,-499,-7.63,-4.99,0,0.0
5556,404,4884,388,16026,-7,6,5,-760,-496,-7.6,-4.96,0,0.0
5606,390,4818,468,15994,-7,-5,16,-754,-498,-7.54,-4.98,0,0.0
5656,380,4480,706,16042,-9,-17,67,-732,-512,-7.32,-5.12,0,0.0
5706,368,5160,494,16058,-36,19,105,-746,-513,-7.46,-5.13,0,0.0
5756,310,4772,-226,15954,-27,-6,75,-741,-477,-7.41,-4.77,0,0.0
5806,277,5050,244,16050,-9,-47,116,-749,-470,-7.49,-4.7,0,-2.7390977443609024
5856,249,4840,334,16006,33,-23,140,-746,-469,-7.46,-4.69,0,-4.71203007518797
5906,285,5166,534,15998,38,12,222,-759,-478,-7.59,-4.78,0,-5.92781954887218
5956,297,5466,-40,15892,-6,126,176,-787,-457,-7.87,-4.57,0,-6.7
6006,350,4768,798,16104,-24,161,138,-773,-482,-7.73,-4.82,0,-6.480451127819549
6056,347,4950,-140,16002,-137,235,173,-772,-454,-7.72,-4.54,0,-6.313533834586466
6106,279,4512,136,16120,-86,279,151,-748,-446,-7.48,-4.46,0,-7.099248120300752
6156,192,4158,92,16222,-157,285,159,-708,-436,-7.08,-4.36,0,-8.837593984962407
6206,244,4274,-350,16292,-199,350,195,-679,-405,-6.79,-4.05,0,-9.115789473684211
6256,270,3762,-566,16338,-246,399,145,-629,-368,-6.29,-3.68,0,-8.99172932330827
6306,247,3486,-728,16322,-324,401,79,-572,-327,-5.72,-3.27,0,-8.832330827067668
6356,209,3016,-1088,16128,-297,428,171,-502,-274,-5.02,-2.74,0,-9.433834586466165
6406,254,2512,-1416,16400,-266,410,170,-414,-212,-4.14,-2.12,0,-9.80375939849624
6456,297,1926,-1478,16502,-242,390,141,-308,-156,-3.08,-1.56,0,-8.713533834586466
