ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,label
17513,0,1320,-376,16732,-6,-17,5,-458.0,-50.0,0
17558,0,1368,-382,16722,-2,-7,2,-461.0,-52.0,0
17608,0,1386,-352,16706,-3,-11,2,-465.0,-55.0,0
17658,0,1366,-376,16700,-6,-5,8,-467.0,-56.0,0
17708,-1,1332,-404,16730,-8,-4,12,-466.0,-56.0,0
17758,0,1394,-354,16720,-9,-5,20,-469.0,-58.0,0
17808,0,1358,-298,16756,-10,5,5,-470.0,-63.0,0
17858,0,1376,-384,16732,-13,-4,3,-472.0,-63.0,0
17908,0,1394,-412,16688,-7,-3,6,-474.0,-62.0,0
17958,0,1346,-418,16646,-12,-5,7,-474.0,-60.0,0
18008,0,1458,-378,16744,-13,-1,8,-479.0,-60.0,0
18058,0,1290,-384,16746,-8,-2,3,-475.0,-61.0,0
18108,0,1378,-378,16736,-15,2,-3,-475.0,-61.0,0
18158,0,1330,-406,16650,-12,-13,4,-474.0,-60.0,0
18208,0,1390,-402,16732,-3,-4,4,-476.0,-59.0,0
18258,0,1396,-406,16754,-13,-1,-1,-477.0,-59.0,0
18308,0,1308,-392,16734,-5,-10,4,-474.0,-59.0,0
18358,0,1382,-352,16738,-6,-4,9,-475.0,-61.0,0
18408,0,1394,-442,16716,-10,1,6,-477.0,-58.0,0
18458,0,1296,-294,16786,3,10,12,-473.0,-63.0,0
18508,0,1560,-314,16772,7,38,-2,-484.0,-67.0,0
18558,0,1056,-552,16662,-23,54,9,-467.0,-57.0,0
18608,0,1088,-408,16806,-20,10,58,-454.0,-57.0,0
18658,0,1150,-390,16816,-36,57,55,-446.0,-57.0,0
18708,0,1746,-460,16594,-56,55,21,-471.0,-54.0,0
18758,0,1012,-262,16854,-83,99,8,-453.0,-62.0,0
18808,0,1076,-842,16648,-94,109,44,-442.0,-38.0,0
18858,0,642,-358,16778,-105,107,65,-410.0,-43.0,0
18908,0,978,-1020,16752,-101,138,117,-400.0,-13.0,0
18958,0,634,-492,16710,-146,171,121,-374.0,-15.0,0
19008,0,500,-886,16820,-122,160,148,-345.0,3.0,0
19058,0,634,-1346,16580,-170,223,186,-328.0,43.0,0
19108,0,-118,-848,16880,-177,255,173,-274.0,50.0,0
19158,0,-148,-1706,16600,-188,268,175,-227.0,102.0,0
19208,0,-284,-1340,16768,-169,263,204,-180.0,126.0,0
19258,0,-334,-1326,16686,-159,242,181,-137.0,146.0,0
19308,0,-916,-1938,16690,-157,235,212,-71.0,194.0,0
19358,0,-1106,-1612,16708,-111,195,168,-6.0,218.0,0
19408,0,-1350,-1728,16650,-116,169,176,62.0,245.0,0
19458,0,-1280,-1766,16682,-90,139,176,116.0,270.0,0
19508,0,-1534,-2008,16546,-69,67,166,176.0,303.0,0
19558,0,-1432,-2258,16498,-78,114,123,222.0,345.0,0
19608,0,-1744,-2260,16558,-99,238,88,276.0,380.0,0
19658,0,-2126,-1850,16500,-109,242,110,343.0,389.0,0
19708,0,-2340,-2320,16332,-75,172,66,411.0,422.0,0
19758,0,-2388,-2418,16846,-28,144,65,467.0,451.0,0
19808,0,-2172,-2448,15934,-73,148,84,511.0,484.0,0
19858,0,-2670,-2546,16626,-28,103,17,568.0,511.0,0
19908,0,-2690,-2396,16740,-23,37,-4,616.0,526.0,0
19958,0,-2546,-2364,16402,-5,-1,-5,653.0,540.0,0
20008,0,-2460,-2208,16412,-5,-6,9,680.0,543.0,0
20058,-1,-2422,-2412,16478,0,-20,-2,701.0,556.0,0
