ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
6013,0,-158,-308,16816,-8,-2,0,-3,-3
6058,0,-186,-318,16758,1,-3,-7,-1,-2
6108,0,-154,-268,16768,9,-7,-3,-2,-4
6158,-1,-174,-264,16828,2,6,-2,-1,-6
6208,0,-160,-262,16768,-2,-3,-4,0,-8
6258,-1,-140,-260,16778,5,-11,4,-1,-9
6308,0,-168,-274,16784,-2,-8,6,-1,-10
6358,0,-134,-226,16728,-15,5,0,-2,-13
6408,0,-168,-230,16774,-2,-2,4,-1,-15
6458,0,-148,-256,16846,-3,-2,3,-2,-16
6508,0,88,60,16746,159,7,-30,-14,-33
6558,0,-38,-122,16772,160,-22,-20,-18,-38
6608,0,106,-18,16950,126,-22,25,-29,-47
6658,-1,-326,-4,16784,29,-24,3,-16,-56
6708,0,-212,138,16834,150,-70,83,-11,-71
6758,0,-80,294,16510,-19,6,-2,-13,-91
6808,-1,40,370,16848,-135,31,53,-22,-113
6858,0,114,1014,16450,-528,77,29,-33,-165
6908,-1,98,348,16710,-87,6,101,-41,-174
6958,0,-32,-1780,16650,-18,-13,104,-41,-72
7008,0,-106,-306,16664,-31,13,-12,-38,-62
7058,0,-166,-336,16804,1,2,3,-32,-51
7108,0,-168,-316,16762,-11,-2,3,-27,-44
7158,0,-124,-328,16770,-12,-6,4,-24,-36
7208,0,-162,-314,16778,-12,-6,2,-21,-31
7258,0,-160,-318,16778,-11,-1,2,-18,-26
7308,0,-168,-322,16758,-11,-4,3,-14,-22
7358,0,-136,-306,16796,-11,-1,3,-13,-19
7408,0,-158,-326,16778,-10,-3,3,-12,-15
7458,0,-154,-324,16812,-10,-3,3,-10,-13
7508,0,-168,-304,16742,-11,-3,3,-8,-11
7558,0,-174,-320,16800,-10,0,3,-6,-9
7608,0,-150,-326,16792,-7,-3,4,-6,-7
7658,0,-166,-324,16758,-10,-7,4,-5,-6
7708,0,-166,-322,16794,-8,1,4,-4,-4
7758,0,-166,-312,16782,-8,-1,3,-3,-4
7808,0,-158,-316,16768,-8,-2,2,-2,-3
7858,0,-158,-320,16768,-10,-3,4,-2,-2
7908,0,-178,-432,16670,15,-54,3,-1,3
7958,0,-134,-342,16632,15,-2,3,-2,4
8008,0,-160,-380,16690,3,-10,3,-2,7
8058,0,-130,-280,16774,9,0,3,-3,4
8108,0,-142,-300,16800,-1,-4,5,-3,3
8158,0,-148,-304,16860,3,3,3,-3,1
8208,0,-150,-318,16832,-15,-7,4,-3,1
8258,0,-178,-350,16764,-6,-11,5,-2,3
8308,0,-160,-294,16752,-15,-2,2,-2,1
8358,0,-130,-308,16758,-4,2,3,-3,1
8408,0,-164,-306,16778,-13,-5,2,-2,0
8458,0,-138,-304,16782,-8,-3,3,-3,0
8508,0,-154,-336,16774,-11,-3,4,-3,0
8558,-1,-148,-294,16790,-7,-2,2,-3,0
8608,0,-162,-322,16772,-8,-1,1,-2,0
8658,0,-144,-294,16796,-9,-2,2,-3,-1
8708,0,-164,-308,16772,-7,-2,4,-2,-1
8758,0,-144,-318,16784,-9,-2,4,-3,0
8808,0,-160,-322,16748,-11,-1,2,-2,0
8858,0,-152,-302,16768,-8,-2,3,-2,-1
8908,0,-150,-320,16772,-9,-2,5,-2,0
8958,0,-152,-312,16780,-9,-3,3,-2,0
9008,0,-158,-338,16774,-9,-3,3,-2,0
9058,0,-164,-314,16746,-6,-3,4,-2,0
9108,0,-160,-330,16770,-7,-2,4,-1,1
9158,0,-174,-324,16792,-8,-3,2,0,1
9208,0,-158,-312,16758,-9,-4,4,0,1
9258,0,-172,-326,16716,-9,-2,4,0,1
9308,0,-162,-310,16750,-7,-3,4,0,1
9358,0,-164,-314,16752,-7,-3,4,0,0
9408,0,-148,-312,16750,-9,-2,3,0,0
9458,0,-140,-310,16764,-8,-3,4,-1,0
9508,0,-174,-310,16780,-9,-2,3,0,0
9558,0,-150,-332,16762,-9,-2,3,-1,0
9608,0,-150,-308,16772,-8,-2,2,-1,0
9658,0,-178,-334,16766,-8,-3,3,0,1
9708,0,-172,-322,16790,-8,-2,3,0,1
9758,0,-132,-312,16782,-7,-3,4,-1,1
9808,0,-156,-308,16798,-8,-3,5,-1,0
9858,0,-162,-310,16794,-10,0,4,-1,0
9908,0,-152,-322,16750,-9,-4,3,-1,0
9958,0,-150,-326,16734,-8,-3,4,-1,0
10008,0,-168,-312,16790,-9,-3,3,-1,0
10058,0,-160,-314,16778,-9,-2,3,-1,0
10108,0,-152,-306,16728,-6,-4,4,-1,0
10158,0,-166,-310,16744,-10,-5,4,0,0
10208,0,-170,-328,16730,-10,-3,2,0,0
10258,0,-148,-312,16752,-9,-2,2,0,0
10308,0,-150,-318,16748,-10,-2,3,-1,0
10358,0,-150,-312,16758,-11,0,4,-1,0
10408,0,-168,-322,16766,-10,-1,5,-1,0
10458,0,-156,-326,16780,-9,-2,4,-1,0
10508,0,-132,-312,16750,-8,-4,2,-2,0
10558,0,-150,-328,16764,-10,-2,5,-2,1
10608,0,-138,-318,16748,-8,-2,4,-3,1
10658,0,-162,-316,16768,-8,-2,4,-2,1
10708,1814,-2044,858,19348,-46,-156,-9,-2,0
10758,3933,146,-68,16812,39,49,23,-17,-12
10808,10817,-22,30,16808,26,17,-10,-22,-27
10858,15798,-62,40,16816,37,14,-12,-23,-41
10908,18444,-54,142,16748,46,5,-4,-25,-59
10958,19883,-56,174,16782,18,0,-3,-27,-75
11008,20669,-40,182,16790,9,-1,-4,-29,-89
11058,20970,-60,208,16746,-4,0,-1,-30,-102
11108,21111,-40,172,16798,-12,-1,4,-31,-112
11158,21187,-32,190,16792,-13,-2,3,-33,-121
11208,21223,-40,172,16780,-16,-1,1,-34,-128
11258,21264,-50,170,16768,-14,0,3,-35,-133
11308,21274,-48,166,16770,-13,-1,4,-35,-138
11358,21273,-58,142,16748,-14,-2,4,-35,-141
11408,21283,-48,164,16762,-17,0,4,-36,-144
11458,21254,-60,172,16778,-16,-1,2,-35,-147
11508,21207,-46,152,16754,-19,-1,4,-36,-149
11558,21174,-66,134,16762,-12,-2,4,-35,-150
11608,21175,-66,136,16766,-13,-1,3,-35,-150
11658,21156,-48,142,16768,-11,-3,4,-35,-151
11708,21158,-30,138,16742,-11,-2,4,-37,-152
11758,21173,-54,136,16768,-8,-1,3,-37,-152
11808,21167,-52,128,16760,-13,-3,3,-37,-152
11858,21128,-64,140,16764,-11,-2,3,-36,-152
11908,21141,-52,144,16750,-10,-3,4,-36,-153
11958,21143,-48,138,16730,-10,-2,4,-36,-153
12008,21155,-72,112,16758,-8,-3,3,-35,-152
12058,21168,-50,120,16776,-12,-1,3,-36,-151
12108,21168,-64,142,16762,-12,-3,3,-35,-152
12158,21176,-72,132,16786,-8,0,4,-34,-152
12208,21191,-38,112,16786,-13,-1,2,-36,-151
12258,21185,-56,132,16786,-11,-3,5,-35,-151
12308,21201,-44,126,16764,-9,-2,3,-36,-151
12358,21217,-66,128,16772,-10,-3,4,-35,-151
12408,21158,-58,120,16782,-11,-3,3,-35,-151
12458,20964,-50,118,16754,-20,-4,3,-36,-150
12508,19553,-28,100,16790,-32,-21,-2,-37,-149
12558,3768,1160,2594,18880,693,122,-503,-37,-150
12608,0,-106,-732,15696,279,547,169,-34,-103
12658,0,-158,-288,16832,56,6,7,-29,-89
12708,0,-172,-258,16794,-24,3,4,-24,-79
12758,0,-158,-278,16796,-14,-6,5,-21,-69
12808,-1,-162,-292,16766,-10,-3,4,-17,-59
12858,0,-154,-300,16754,-11,-2,3,-15,-51
12908,0,-176,-276,16772,-11,-2,2,-12,-45
12958,-1,-134,-288,16754,-9,0,5,-11,-40
13008,0,-148,-292,16780,-10,-2,5,-10,-35
13058,0,-164,-292,16764,-11,-2,5,-9,-31
13108,0,-164,-302,16778,-9,-3,4,-7,-27
13158,0,-168,-284,16766,-9,-2,5,-6,-24
13208,0,-142,-300,16756,-8,-1,3,-6,-21
13258,-1,-160,-308,16748,-11,-3,2,-5,-18
13308,-1,-168,-280,16790,-9,0,3,-4,-17
13358,0,-142,-300,16760,-9,-3,3,-4,-15
13408,0,-146,-296,16766,-9,-1,2,-4,-14
13458,0,-164,-306,16790,-9,-3,4,-3,-12
13508,0,-154,-288,16772,-10,-2,4,-3,-12
13558,0,-168,-300,16764,-9,-1,2,-2,-11
13608,0,-158,-284,16770,-10,-2,3,-2,-11
13658,0,-162,-306,16746,-9,-2,3,-1,-9
13708,0,-158,-302,16750,-10,-2,3,-1,-9
13758,0,-148,-314,16744,-8,-3,4,-2,-7
13808,0,-168,-302,16746,-11,-3,3,-1,-7
13858,0,-164,-290,16766,-9,-3,3,-1,-7
13908,0,-162,-314,16752,-10,-3,3,0,-6
13958,-1,-162,-304,16766,-7,-2,3,0,-5
14008,0,-168,-302,16776,-11,-4,2,0,-5
14058,0,-172,-292,16772,-8,-1,2,0,-6
14108,0,-172,-308,16748,-8,-2,2,0,-5
14158,0,-168,-316,16768,-8,-2,2,1,-4
14208,0,-158,-310,16762,-8,-2,5,0,-4
14258,-1,-144,-310,16750,-9,-3,3,0,-3
14308,0,-172,-306,16774,-7,-1,4,0,-3
14358,0,-146,-306,16750,-9,-3,3,0,-3
14408,0,-154,-322,16756,-9,-2,4,0,-2
14458,0,-168,-304,16774,-8,-2,5,0,-2
14508,0,-140,-316,16782,-8,-2,3,-1,-2
14558,0,-156,-302,16766,-8,-1,2,-1,-2
14608,0,-160,-312,16778,-8,-3,4,-1,-2
14658,0,-156,-302,16764,-7,-2,3,-1,-2
14708,0,-160,-290,16782,-10,-1,3,-1,-3
14758,0,-164,-308,16764,-8,-2,3,0,-3
14808,0,-150,-304,16772,-9,-2,4,-1,-3
14858,0,-172,-280,16772,-8,-1,3,0,-4
14908,0,-154,-302,16784,-9,-2,4,0,-4
14958,0,-154,-310,16782,-9,-1,5,-1,-4
15008,0,-156,-292,16792,-10,-1,4,-1,-4
15058,0,-152,-294,16788,-8,-3,3,-1,-5
