ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
4880,379,4950,454,15972,-4.0,-10.0,3.0,-762.0,-511.0
4906,382,4970,454,15976,-7.0,-5.0,-1.0,-764.0,-510.0
4956,390,4950,472,16022,-10.0,-8.0,-1.0,-764.0,-510.0
5006,396,4980,520,15960,-13.0,-8.0,6.0,-766.0,-513.0
5056,391,4932,436,16002,-10.0,-4.0,9.0,-765.0,-511.0
5106,388,4934,466,15950,-11.0,-4.0,13.0,-765.0,-510.0
5156,396,5018,444,15954,-11.0,-1.0,18.0,-769.0,-509.0
5206,422,4950,478,15974,-13.0,3.0,14.0,-769.0,-510.0
5256,407,5040,424,15940,-15.0,5.0,9.0,-774.0,-507.0
5306,417,4792,416,16012,-22.0,10.0,14.0,-764.0,-505.0
5356,387,5028,468,16004,-5.0,-5.0,13.0,-768.0,-506.0
5406,344,4830,376,15988,-9.0,3.0,7.0,-762.0,-501.0
5456,389,4960,422,15982,-16.0,7.0,11.0,-763.0,-500.0
5506,440,4914,410,15926,-15.0,1.0,8.0,-763.0,-499.0
5556,404,4884,388,16026,-7.0,6.0,5.0,-760.0,-496.0
5606,390,4818,468,15994,-7.0,-5.0,16.0,-754.0,-498.0
5656,380,4480,706,16042,-9.0,-17.0,67.0,-732.0,-512.0
5706,368,5160,494,16058,-36.0,19.0,105.0,-746.0,-513.0
5756,310,4772,-226,15954,-27.0,-6.0,75.0,-741.0,-477.0
5806,277,5050,244,16050,-9.0,-47.0,116.0,-749.0,-470.0
5856,249,4840,334,16006,33.0,-23.0,140.0,-746.0,-469.0
5906,285,5166,534,15998,38.0,12.0,222.0,-759.0,-478.0
5956,297,5466,-40,15892,-6.0,126.0,176.0,-787.0,-457.0
6006,350,4768,798,16104,-24.0,161.0,138.0,-773.0,-482.0
6056,347,4950,-140,16002,-137.0,235.0,173.0,-772.0,-454.0
6106,279,4512,136,16120,-86.0,279.0,151.0,-748.0,-446.0
6156,192,4158,92,16222,-157.0,285.0,159.0,-708.0,-436.0
6206,244,4274,-350,16292,-199.0,350.0,195.0,-679.0,-405.0
6256,270,3762,-566,16338,-246.0,399.0,145.0,-629.0,-368.0
6306,247,3486,-728,16322,-324.0,401.0,79.0,-572.0,-327.0
6356,209,3016,-1088,16128,-297.0,428.0,171.0,-502.0,-274.0
6406,254,2512,-1416,16400,-266.0,410.0,170.0,-414.0,-212.0
6456,297,1926,-1478,16502,-242.0,390.0,141.0,-308.0,-156.0
6506,358,1726,-1844,16456,-212.0,340.0,134.0,-208.0,-90.0
6556,427,1376,-1886,16542,-168.0,301.0,143.0,-105.0,-31.0
6606,436,1266,-2124,16540,-152.0,257.0,94.0,-11.0,29.0
6656,443,1078,-2084,16506,-134.0,242.0,122.0,77.0,80.0
6706,440,644,-2392,16538,-128.0,216.0,112.0,175.0,139.0
6756,469,560,-2426,16532,-104.0,177.0,73.0,263.0,191.0
6806,438,522,-2586,16542,-100.0,153.0,51.0,339.0,243.0
6856,410,278,-2510,16538,-84.0,122.0,58.0,417.0,283.0
6906,434,184,-2764,16550,-66.0,78.0,56.0,488.0,331.0
6956,444,310,-2636,16542,-45.0,58.0,38.0,542.0,364.0
7006,458,64,-2716,16504,-39.0,62.0,23.0,600.0,397.0
7056,442,82,-2736,16542,-39.0,49.0,14.0,649.0,426.0
7106,430,142,-2800,16502,-40.0,55.0,16.0,687.0,454.0
7156,408,98,-2664,16522,-52.0,66.0,11.0,722.0,471.0
7206,464,-152,-2712,16510,-59.0,68.0,31.0,764.0,488.0
7256,428,-56,-2880,16498,-49.0,57.0,24.0,795.0,510.0
7306,425,-198,-2984,16482,-35.0,51.0,25.0,829.0,535.0
7356,440,-278,-3004,16488,-16.0,21.0,11.0,862.0,557.0
7406,331,-236,-2944,16470,-11.0,9.0,12.0,887.0,573.0
7456,322,-246,-2864,16512,-9.0,1.0,22.0,910.0,582.0
7506,318,-256,-2908,16510,-4.0,-2.0,16.0,929.0,592.0
7556,395,-360,-2874,16468,12.0,-19.0,19.0,951.0,599.0
7606,330,-184,-2894,16530,-9.0,-27.0,-4.0,961.0,606.0
7656,363,-144,-2850,16532,-8.0,-22.0,-5.0,967.0,609.0
7706,316,-272,-2886,16450,-14.0,-26.0,-12.0,979.0,615.0
7756,375,-476,-3368,15296,-163.0,-79.0,-3.0,1001.0,656.0
7806,263,396,-3072,16382,-64.0,-30.0,8.0,973.0,664.0
7856,298,108,-2950,16586,-27.0,15.0,-29.0,964.0,663.0
7906,369,-102,-2618,16452,194.0,42.0,3.0,968.0,647.0
7956,297,158,-2880,16636,-166.0,-23.0,75.0,958.0,645.0
8006,256,222,-3606,16698,116.0,-141.0,-2.0,946.0,678.0
8056,305,0,-2750,16036,34.0,-67.0,-3.0,947.0,670.0
8106,314,-16,-3620,16192,160.0,-92.0,-11.0,948.0,706.0
8156,931,-198,-2854,15898,477.0,-642.0,70.0,959.0,700.0
8206,1617,508,-3264,16486,57.0,-102.0,44.0,932.0,711.0
8256,1110,452,-2662,16484,9.0,2.0,45.0,912.0,689.0
8306,1373,616,-2730,16530,130.0,-136.0,-31.0,887.0,674.0
8356,1528,832,-2124,16826,66.0,-87.0,-18.0,854.0,628.0
8406,752,952,-2318,16856,-77.0,142.0,18.0,821.0,599.0
